"","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","hum","windspeed","cnt"
"423","SPRING","2012","FEB","NO","MON","WORKDAY","1",0.366667,0.490833,0.268033,4322
"424","SPRING","2012","FEB","NO","TUE","WORKDAY","1",0.359167,0.395833,0.193417,4363
"425","SPRING","2012","FEB","NO","WED","WORKDAY","2",0.344348,0.804783,0.179117,1834
"426","SPRING","2012","MAR","NO","THU","WORKDAY","1",0.485833,0.615417,0.226987,4990
"428","SPRING","2012","MAR","NO","SAT","FREEDAY","2",0.414167,0.62125,0.161079,4066
"429","SPRING","2012","MAR","NO","SUN","FREEDAY","1",0.325833,0.403333,0.334571,3423
"430","SPRING","2012","MAR","NO","MON","WORKDAY","1",0.243333,0.50625,0.228858,3333
"431","SPRING","2012","MAR","NO","TUE","WORKDAY","1",0.258333,0.456667,0.200875,3956
"434","SPRING","2012","MAR","NO","FRI","WORKDAY","2",0.410833,0.407083,0.4148,4569
"438","SPRING","2012","MAR","NO","TUE","WORKDAY","1",0.565,0.6175,0.23695,5847
"439","SPRING","2012","MAR","NO","WED","WORKDAY","1",0.5725,0.507083,0.115062,6312
"440","SPRING","2012","MAR","NO","THU","WORKDAY","1",0.5575,0.579583,0.149883,6192
"441","SPRING","2012","MAR","NO","FRI","WORKDAY","2",0.435833,0.842083,0.113192,4378
"443","SPRING","2012","MAR","NO","SUN","FREEDAY","2",0.4725,0.81,0.126883,5892
"444","SPRING","2012","MAR","NO","MON","WORKDAY","1",0.545,0.72875,0.162317,6153
"445","SPRING","2012","MAR","NO","TUE","WORKDAY","1",0.560833,0.807917,0.121271,6093
"447","SUMMER","2012","MAR","NO","THU","WORKDAY","1",0.554167,0.83125,0.117562,6871
"450","SUMMER","2012","MAR","NO","SUN","FREEDAY","2",0.4375,0.880833,0.220775,4996
"451","SUMMER","2012","MAR","NO","MON","WORKDAY","1",0.445833,0.477917,0.386821,5558
"452","SUMMER","2012","MAR","NO","TUE","WORKDAY","1",0.323333,0.29,0.187192,5102
"454","SUMMER","2012","MAR","NO","THU","WORKDAY","1",0.494167,0.439167,0.31965,6133
"455","SUMMER","2012","MAR","NO","FRI","WORKDAY","2",0.37,0.580833,0.138067,5459
"456","SUMMER","2012","MAR","NO","SAT","FREEDAY","2",0.424167,0.738333,0.250617,6235
"457","SUMMER","2012","APR","NO","SUN","FREEDAY","2",0.425833,0.67625,0.172267,6041
"458","SUMMER","2012","APR","NO","MON","WORKDAY","1",0.433913,0.504348,0.312139,5936
"459","SUMMER","2012","APR","NO","TUE","WORKDAY","1",0.466667,0.396667,0.100133,6772
"460","SUMMER","2012","APR","NO","WED","WORKDAY","1",0.541667,0.469583,0.180975,6436
"463","SUMMER","2012","APR","NO","SAT","FREEDAY","1",0.4375,0.254167,0.274871,6857
"464","SUMMER","2012","APR","NO","SUN","FREEDAY","1",0.5,0.275833,0.232596,5169
"465","SUMMER","2012","APR","NO","MON","WORKDAY","1",0.489167,0.3175,0.358196,5585
"466","SUMMER","2012","APR","NO","TUE","WORKDAY","1",0.446667,0.435,0.249375,5918
"467","SUMMER","2012","APR","NO","WED","WORKDAY","1",0.348696,0.469565,0.295274,4862
"468","SUMMER","2012","APR","NO","THU","WORKDAY","1",0.3975,0.46625,0.290429,5409
"469","SUMMER","2012","APR","NO","FRI","WORKDAY","1",0.4425,0.408333,0.155471,6398
"470","SUMMER","2012","APR","NO","SAT","FREEDAY","1",0.495,0.502917,0.190917,7460
"472","SUMMER","2012","APR","YES","MON","FREEDAY","1",0.664167,0.561667,0.284829,6370
"473","SUMMER","2012","APR","NO","TUE","WORKDAY","1",0.608333,0.390417,0.273629,6691
"474","SUMMER","2012","APR","NO","WED","WORKDAY","2",0.463333,0.569167,0.167912,4367
"475","SUMMER","2012","APR","NO","THU","WORKDAY","1",0.498333,0.6125,0.0659292,6565
"477","SUMMER","2012","APR","NO","SAT","FREEDAY","1",0.57,0.682917,0.283587,6624
"479","SUMMER","2012","APR","NO","MON","WORKDAY","2",0.321667,0.766667,0.303496,3214
"480","SUMMER","2012","APR","NO","TUE","WORKDAY","1",0.413333,0.454167,0.249383,5633
"483","SUMMER","2012","APR","NO","FRI","WORKDAY","1",0.4575,0.400833,0.347633,6233
"484","SUMMER","2012","APR","NO","SAT","FREEDAY","2",0.376667,0.489583,0.129975,4220
"487","SUMMER","2012","MAY","NO","TUE","WORKDAY","2",0.613333,0.659583,0.156096,5740
"490","SUMMER","2012","MAY","NO","FRI","WORKDAY","1",0.6275,0.735417,0.162938,6296
"494","SUMMER","2012","MAY","NO","TUE","WORKDAY","2",0.581667,0.685833,0.296029,5728
"498","SUMMER","2012","MAY","NO","SAT","FREEDAY","1",0.564167,0.480417,0.123133,7429
"500","SUMMER","2012","MAY","NO","MON","WORKDAY","2",0.573333,0.789583,0.212692,2843
"501","SUMMER","2012","MAY","NO","TUE","WORKDAY","2",0.611667,0.794583,0.147392,5115
"503","SUMMER","2012","MAY","NO","THU","WORKDAY","1",0.593333,0.52,0.229475,7384
"504","SUMMER","2012","MAY","NO","FRI","WORKDAY","1",0.564167,0.523333,0.136817,7639
"505","SUMMER","2012","MAY","NO","SAT","FREEDAY","1",0.6,0.45625,0.083975,8294
"506","SUMMER","2012","MAY","NO","SUN","FREEDAY","1",0.620833,0.530417,0.254367,7129
"507","SUMMER","2012","MAY","NO","MON","WORKDAY","2",0.598333,0.81125,0.233204,4359
"508","SUMMER","2012","MAY","NO","TUE","WORKDAY","2",0.615,0.765833,0.118167,6073
"509","SUMMER","2012","MAY","NO","WED","WORKDAY","2",0.621667,0.774583,0.102,5260
"510","SUMMER","2012","MAY","NO","THU","WORKDAY","1",0.655,0.716667,0.172896,6770
"515","SUMMER","2012","MAY","NO","TUE","WORKDAY","1",0.7225,0.684583,0.2954,5743
"516","SUMMER","2012","MAY","NO","WED","WORKDAY","2",0.656667,0.67,0.134329,6855
"517","SUMMER","2012","MAY","NO","THU","WORKDAY","1",0.68,0.492917,0.195279,7338
"518","SUMMER","2012","JUN","NO","FRI","WORKDAY","2",0.654167,0.755417,0.237563,4127
"519","SUMMER","2012","JUN","NO","SAT","FREEDAY","1",0.583333,0.549167,0.186562,8120
"520","SUMMER","2012","JUN","NO","SUN","FREEDAY","1",0.6025,0.493333,0.184087,7641
"521","SUMMER","2012","JUN","NO","MON","WORKDAY","1",0.5975,0.487083,0.284833,6998
"522","SUMMER","2012","JUN","NO","TUE","WORKDAY","2",0.540833,0.613333,0.209575,7001
"523","SUMMER","2012","JUN","NO","WED","WORKDAY","1",0.554167,0.61125,0.077125,7055
"526","SUMMER","2012","JUN","NO","SAT","FREEDAY","1",0.710833,0.437083,0.144287,7498
"528","SUMMER","2012","JUN","NO","MON","WORKDAY","2",0.720833,0.587917,0.207713,6664
"530","SUMMER","2012","JUN","NO","WED","WORKDAY","1",0.655833,0.582083,0.343279,7421
"531","SUMMER","2012","JUN","NO","THU","WORKDAY","1",0.648333,0.569583,0.253733,7363
"533","SUMMER","2012","JUN","NO","SAT","FREEDAY","1",0.631667,0.504167,0.166667,7702
"534","SUMMER","2012","JUN","NO","SUN","FREEDAY","1",0.5925,0.59875,0.144904,6978
"536","SUMMER","2012","JUN","NO","TUE","WORKDAY","1",0.688333,0.69,0.148017,6825
"537","SUMMER","2012","JUN","NO","WED","WORKDAY","1",0.7825,0.592083,0.113812,6211
"538","FALL","2012","JUN","NO","THU","WORKDAY","1",0.805833,0.567917,0.118787,5905
"539","FALL","2012","JUN","NO","FRI","WORKDAY","1",0.7775,0.57375,0.182842,5823
"542","FALL","2012","JUN","NO","MON","WORKDAY","1",0.715833,0.504167,0.300383,6779
"543","FALL","2012","JUN","NO","TUE","WORKDAY","1",0.630833,0.373333,0.347642,7442
"544","FALL","2012","JUN","NO","WED","WORKDAY","1",0.6975,0.36,0.271775,7335
"545","FALL","2012","JUN","NO","THU","WORKDAY","1",0.749167,0.4225,0.17165,6879
"546","FALL","2012","JUN","NO","FRI","WORKDAY","1",0.834167,0.48875,0.165417,5463
"548","FALL","2012","JUL","NO","SUN","FREEDAY","1",0.815833,0.51875,0.168529,5531
"549","FALL","2012","JUL","NO","MON","WORKDAY","1",0.781667,0.447083,0.195267,6227
"551","FALL","2012","JUL","YES","WED","FREEDAY","1",0.789167,0.53875,0.13495,7403
"554","FALL","2012","JUL","NO","SAT","FREEDAY","1",0.861667,0.492083,0.163554,4840
"555","FALL","2012","JUL","NO","SUN","FREEDAY","1",0.8225,0.57375,0.125629,4672
"556","FALL","2012","JUL","NO","MON","WORKDAY","2",0.710833,0.683333,0.180975,6569
"557","FALL","2012","JUL","NO","TUE","WORKDAY","2",0.720833,0.6675,0.151737,6290
"558","FALL","2012","JUL","NO","WED","WORKDAY","1",0.716667,0.633333,0.151733,7264
"559","FALL","2012","JUL","NO","THU","WORKDAY","1",0.715833,0.529583,0.146775,7446
"560","FALL","2012","JUL","NO","FRI","WORKDAY","2",0.731667,0.485833,0.08085,7499
"562","FALL","2012","JUL","NO","SUN","FREEDAY","1",0.745833,0.717917,0.166667,6031
"564","FALL","2012","JUL","NO","TUE","WORKDAY","1",0.818333,0.505833,0.114429,6786
"567","FALL","2012","JUL","NO","FRI","WORKDAY","2",0.665833,0.844167,0.208967,5870
"568","FALL","2012","JUL","NO","SAT","FREEDAY","3",0.595833,0.865417,0.2133,4459
"569","FALL","2012","JUL","NO","SUN","FREEDAY","2",0.6675,0.7625,0.0939208,7410
"570","FALL","2012","JUL","NO","MON","WORKDAY","1",0.741667,0.694167,0.138683,6966
"572","FALL","2012","JUL","NO","WED","WORKDAY","1",0.724167,0.45,0.1648,8173
"573","FALL","2012","JUL","NO","THU","WORKDAY","1",0.776667,0.596667,0.284813,6861
"575","FALL","2012","JUL","NO","SAT","FREEDAY","1",0.755833,0.613333,0.15735,6685
"576","FALL","2012","JUL","NO","SUN","FREEDAY","1",0.721667,0.62375,0.170396,6597
"580","FALL","2012","AUG","NO","THU","WORKDAY","1",0.7525,0.659583,0.129354,7261
"581","FALL","2012","AUG","NO","FRI","WORKDAY","2",0.765833,0.6425,0.215792,7175
"583","FALL","2012","AUG","NO","SUN","FREEDAY","1",0.769167,0.6525,0.290421,5464
"584","FALL","2012","AUG","NO","MON","WORKDAY","2",0.7525,0.654167,0.129354,7013
"586","FALL","2012","AUG","NO","WED","WORKDAY","2",0.75,0.672917,0.1107,7534
"588","FALL","2012","AUG","NO","FRI","WORKDAY","2",0.715833,0.715833,0.238813,5786
"589","FALL","2012","AUG","NO","SAT","FREEDAY","2",0.6925,0.732917,0.206479,6299
"590","FALL","2012","AUG","NO","SUN","FREEDAY","1",0.700833,0.530417,0.122512,6544
"591","FALL","2012","AUG","NO","MON","WORKDAY","1",0.720833,0.545417,0.136212,6883
"593","FALL","2012","AUG","NO","WED","WORKDAY","1",0.706667,0.619583,0.169771,7347
"594","FALL","2012","AUG","NO","THU","WORKDAY","1",0.719167,0.519167,0.141796,7605
"598","FALL","2012","AUG","NO","MON","WORKDAY","2",0.635833,0.734167,0.129979,6530
"599","FALL","2012","AUG","NO","TUE","WORKDAY","1",0.649167,0.67375,0.0727708,7006
"600","FALL","2012","AUG","NO","WED","WORKDAY","1",0.6675,0.677083,0.0702833,7375
"602","FALL","2012","AUG","NO","FRI","WORKDAY","2",0.7025,0.615,0.0721458,7582
"603","FALL","2012","AUG","NO","SAT","FREEDAY","2",0.661667,0.712917,0.244408,6053
"605","FALL","2012","AUG","NO","MON","WORKDAY","1",0.703333,0.730417,0.128733,6917
"606","FALL","2012","AUG","NO","TUE","WORKDAY","1",0.728333,0.62,0.190925,7040
"610","FALL","2012","SEP","NO","SAT","FREEDAY","2",0.753333,0.638333,0.113187,6140
"611","FALL","2012","SEP","NO","SUN","FREEDAY","2",0.696667,0.815,0.0640708,5810
"613","FALL","2012","SEP","NO","TUE","WORKDAY","1",0.725833,0.755,0.236321,6864
"614","FALL","2012","SEP","NO","WED","WORKDAY","1",0.736667,0.74125,0.187808,7112
"615","FALL","2012","SEP","NO","THU","WORKDAY","2",0.696667,0.810417,0.142421,6203
"616","FALL","2012","SEP","NO","FRI","WORKDAY","1",0.703333,0.73625,0.171646,7504
"617","FALL","2012","SEP","NO","SAT","FREEDAY","2",0.659167,0.799167,0.281104,5976
"618","FALL","2012","SEP","NO","SUN","FREEDAY","1",0.61,0.5475,0.224496,8227
"619","FALL","2012","SEP","NO","MON","WORKDAY","1",0.583333,0.50375,0.258713,7525
"620","FALL","2012","SEP","NO","TUE","WORKDAY","1",0.5775,0.52,0.0920542,7767
"621","FALL","2012","SEP","NO","WED","WORKDAY","1",0.599167,0.577083,0.131846,7870
"623","FALL","2012","SEP","NO","FRI","WORKDAY","1",0.633333,0.6725,0.103863,8009
"625","FALL","2012","SEP","NO","SUN","FREEDAY","1",0.58,0.57,0.0901833,7333
"626","FALL","2012","SEP","NO","MON","WORKDAY","2",0.580833,0.734583,0.151742,6869
"628","FALL","2012","SEP","NO","WED","WORKDAY","1",0.5525,0.536667,0.215175,7591
"629","FALL","2012","SEP","NO","THU","WORKDAY","1",0.546667,0.618333,0.118167,7720
"630","FALL","2012","SEP","NO","FRI","WORKDAY","1",0.599167,0.66875,0.154229,8167
"631","FALL","2012","SEP","NO","SAT","FREEDAY","1",0.65,0.646667,0.283583,8395
"634","WINTER","2012","SEP","NO","TUE","WORKDAY","1",0.55,0.57,0.236321,7538
"635","WINTER","2012","SEP","NO","WED","WORKDAY","1",0.635,0.630833,0.2444,7733
"636","WINTER","2012","SEP","NO","THU","WORKDAY","2",0.65,0.690833,0.134342,7393
"637","WINTER","2012","SEP","NO","FRI","WORKDAY","2",0.619167,0.69,0.164179,7415
"638","WINTER","2012","SEP","NO","SAT","FREEDAY","1",0.5425,0.542917,0.227604,8555
"641","WINTER","2012","OCT","NO","TUE","WORKDAY","3",0.590833,0.871667,0.104475,4639
"642","WINTER","2012","OCT","NO","WED","WORKDAY","2",0.6575,0.79375,0.0665458,7572
"645","WINTER","2012","OCT","NO","SAT","FREEDAY","1",0.554167,0.664167,0.268025,7965
"646","WINTER","2012","OCT","NO","SUN","FREEDAY","2",0.415833,0.708333,0.141162,3510
"648","WINTER","2012","OCT","NO","TUE","WORKDAY","2",0.446667,0.761667,0.1903,6392
"649","WINTER","2012","OCT","NO","WED","WORKDAY","1",0.514167,0.630833,0.187821,7691
"650","WINTER","2012","OCT","NO","THU","WORKDAY","1",0.435,0.463333,0.181596,7570
"651","WINTER","2012","OCT","NO","FRI","WORKDAY","1",0.4375,0.539167,0.235092,7282
"652","WINTER","2012","OCT","NO","SAT","FREEDAY","1",0.393333,0.494583,0.146142,7109
"653","WINTER","2012","OCT","NO","SUN","FREEDAY","1",0.521667,0.640417,0.278612,6639
"654","WINTER","2012","OCT","NO","MON","WORKDAY","2",0.561667,0.7075,0.296037,5875
"655","WINTER","2012","OCT","NO","TUE","WORKDAY","1",0.468333,0.558333,0.182221,7534
"656","WINTER","2012","OCT","NO","WED","WORKDAY","1",0.455833,0.692917,0.101371,7461
"658","WINTER","2012","OCT","NO","FRI","WORKDAY","2",0.563333,0.815,0.134954,5424
"659","WINTER","2012","OCT","NO","SAT","FREEDAY","1",0.484167,0.572917,0.117537,8090
"660","WINTER","2012","OCT","NO","SUN","FREEDAY","1",0.464167,0.51,0.166054,6824
"661","WINTER","2012","OCT","NO","MON","WORKDAY","1",0.4875,0.568333,0.0814833,7058
"663","WINTER","2012","OCT","NO","WED","WORKDAY","1",0.5875,0.63625,0.0727792,7693
"665","WINTER","2012","OCT","NO","FRI","WORKDAY","2",0.545833,0.807083,0.132467,7444
"668","WINTER","2012","OCT","NO","MON","WORKDAY","3",0.44,0.88,0.3582,22
"670","WINTER","2012","OCT","NO","WED","WORKDAY","2",0.3575,0.666667,0.166667,5566
"671","WINTER","2012","NOV","NO","THU","WORKDAY","2",0.365833,0.581667,0.157346,5986
"672","WINTER","2012","NOV","NO","FRI","WORKDAY","1",0.355,0.522083,0.266175,5847
"673","WINTER","2012","NOV","NO","SAT","FREEDAY","2",0.343333,0.49125,0.270529,5138
"674","WINTER","2012","NOV","NO","SUN","FREEDAY","1",0.325833,0.532917,0.179108,5107
"676","WINTER","2012","NOV","NO","TUE","WORKDAY","1",0.280833,0.567083,0.173513,5686
"678","WINTER","2012","NOV","NO","THU","WORKDAY","1",0.352174,0.333478,0.347835,5315
"685","WINTER","2012","NOV","NO","THU","WORKDAY","2",0.321667,0.620417,0.152987,5445
"687","WINTER","2012","NOV","NO","SAT","FREEDAY","1",0.325,0.545417,0.179729,5629
"688","WINTER","2012","NOV","NO","SUN","FREEDAY","1",0.3425,0.692917,0.227612,4669
"690","WINTER","2012","NOV","NO","TUE","WORKDAY","2",0.374167,0.685,0.082725,5634
"691","WINTER","2012","NOV","NO","WED","WORKDAY","1",0.353333,0.61375,0.103246,5146
"692","WINTER","2012","NOV","YES","THU","FREEDAY","1",0.34,0.580417,0.0528708,2425
"694","WINTER","2012","NOV","NO","SAT","FREEDAY","1",0.278333,0.404583,0.376871,2277
"696","WINTER","2012","NOV","NO","MON","WORKDAY","1",0.313333,0.535417,0.04665,5087
"698","WINTER","2012","NOV","NO","WED","WORKDAY","1",0.296667,0.50625,0.210821,5260
"699","WINTER","2012","NOV","NO","THU","WORKDAY","1",0.28087,0.555652,0.115522,5323
"700","WINTER","2012","NOV","NO","FRI","WORKDAY","1",0.298333,0.649583,0.0584708,5668
"701","WINTER","2012","DEC","NO","SAT","FREEDAY","2",0.298333,0.806667,0.0597042,5191
"702","WINTER","2012","DEC","NO","SUN","FREEDAY","2",0.3475,0.823333,0.124379,4649
"704","WINTER","2012","DEC","NO","TUE","WORKDAY","1",0.475833,0.73375,0.174129,6606
"705","WINTER","2012","DEC","NO","WED","WORKDAY","1",0.438333,0.485,0.324021,5729
"708","WINTER","2012","DEC","NO","SAT","FREEDAY","2",0.381667,0.91125,0.101379,5582
"709","WINTER","2012","DEC","NO","SUN","FREEDAY","2",0.384167,0.905417,0.157975,3228
"710","WINTER","2012","DEC","NO","MON","WORKDAY","2",0.435833,0.925,0.190308,5170
"711","WINTER","2012","DEC","NO","TUE","WORKDAY","2",0.353333,0.596667,0.296037,5501
"712","WINTER","2012","DEC","NO","WED","WORKDAY","2",0.2975,0.538333,0.162937,5319
"714","WINTER","2012","DEC","NO","FRI","WORKDAY","1",0.281667,0.642917,0.131229,5611
"715","WINTER","2012","DEC","NO","SAT","FREEDAY","1",0.324167,0.650417,0.10635,5047
"718","WINTER","2012","DEC","NO","TUE","WORKDAY","1",0.410833,0.66625,0.221404,5557
"719","WINTER","2012","DEC","NO","WED","WORKDAY","1",0.3325,0.625417,0.184092,5267
"720","WINTER","2012","DEC","NO","THU","WORKDAY","2",0.33,0.667917,0.132463,4128
"721","SPRING","2012","DEC","NO","FRI","WORKDAY","2",0.326667,0.556667,0.374383,3623
"723","SPRING","2012","DEC","NO","SUN","FREEDAY","1",0.245833,0.515417,0.133083,1787
"724","SPRING","2012","DEC","NO","MON","WORKDAY","2",0.231304,0.791304,0.0772304,920
"725","SPRING","2012","DEC","YES","TUE","FREEDAY","2",0.291304,0.734783,0.168726,1013
"727","SPRING","2012","DEC","NO","THU","WORKDAY","2",0.254167,0.652917,0.350133,2114
"730","SPRING","2012","DEC","NO","SUN","FREEDAY","1",0.255833,0.483333,0.350754,1796
"731","SPRING","2012","DEC","NO","MON","WORKDAY","2",0.215833,0.5775,0.154846,2729
